source_province,category,comparable_years,comparable_year_count,school_context_count,observed_school_context_count,reference_ge3_count,reference_ge3_percent,reference_eq2_count,reference_eq2_percent,reference_eq1_count,reference_eq1_percent,reference_eq0_count,reference_eq0_percent,observed_reference_ge2_percent,observed_reference_eq1_percent
云南,体育类,2023,1,2952,3,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
云南,文科,2023,1,2952,1497,0,0.0000,0,0.0000,1496,50.6775,1456,49.3225,0.0000,99.9332
云南,物理类,2025,1,2952,583,0,0.0000,0,0.0000,582,19.7154,2370,80.2846,0.0000,99.8285
云南,艺术类,2023,1,2952,4,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
云南,艺术类（历史）,2025,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
浙江,体育类,2023|2024,2,2952,17,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
浙江,艺术类,2023|2024,2,2952,45,0,0.0000,1,0.0339,5,0.1694,2946,99.7967,2.2222,11.1111
浙江,艺术类（历史）,2024,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
浙江,艺术类（物理）,2024,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
浙江,综合,2023|2024|2025,3,2952,1615,1391,47.1206,113,3.8279,110,3.7263,1338,45.3252,93.1269,6.8111
重庆,历史类,2023|2024|2025,3,2952,1430,1109,37.5678,181,6.1314,139,4.7087,1523,51.5921,90.2098,9.7203
重庆,体育类（历史）,2023|2024,2,2952,12,0,0.0000,0,0.0000,1,0.0339,2951,99.9661,0.0000,8.3333
重庆,体育类（物理）,2023|2024,2,2952,12,0,0.0000,0,0.0000,1,0.0339,2951,99.9661,0.0000,8.3333
重庆,物理类,2023|2024|2025,3,2952,1609,1405,47.5949,88,2.9810,115,3.8957,1344,45.5285,92.7906,7.1473
重庆,艺术类,2023,1,2952,2,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
重庆,艺术类（历史）,2023|2024,2,2952,25,0,0.0000,1,0.0339,1,0.0339,2950,99.9322,4.0000,4.0000
重庆,艺术类（物理）,2023|2024,2,2952,24,0,0.0000,0,0.0000,1,0.0339,2951,99.9661,0.0000,4.1667
